('the',) : 188100
('c–fabc',) : 1
('ground-effect',) : 1
('hovercraft',) : 1
('c–hxxx',) : 1
('c-ixxx',) : 1
('kh–abc',) : 1
('-suffixed',) : 1
('na1ss',) : 1
('or4iss',) : 1
('dp0iss',) : 1
('rs0iss',) : 1
('plain-text',) : 1
('kyw',) : 1
('4-character',) : 1
('3-character',) : 1
('ksl',) : 1
('koa',) : 1
('wjw',) : 1
('wsm',) : 1
('wgn',) : 1
('sign-on',) : 1
('sign-off',) : 1
('vo',) : 1
('xe',) : 1
('xew-am',) : 1
('xh',) : 1
('-fm',) : 1
('-tv',) : 1
('-tdt',) : 1
('argentinian',) : 1
('zy',) : 1
('zya',) : 1
('zyb',) : 1
('zyi',) : 1
('zyj',) : 1
('zyl',) : 1
('zyk',) : 1
('zyg',) : 1
('zyc',) : 1
('zyd',) : 1
('zym',) : 1
('zyu',) : 1
('/p',) : 1
('/m',) : 1
('/am',) : 1
('/mm',) : 1
('j29dba',) : 1
('dba',) : 1
('6y',) : 1
('pre-pends',) : 1
('w4/g3abc',) : 1
('u.s./canadian',) : 1
('w1aw/ve4',) : 1
('ve3xyz/w1',) : 1
('vips',) : 1
('vo1s',) : 1
('vo1',) : 1
('single-character',) : 1
('gb90mgy',) : 1
('jy1',) : 1
('hashemite',) : 1
('letter-digit-digit',) : 1
('platoons',) : 1
('f13',) : 1
('f13c',) : 1
('33a',) : 1
('ism',) : 1
('routers',) : 1
('ssid',) : 1
('mobile-phone',) : 1
('radiobeacon',) : 1
('addressees',) : 1
('electrics',) : 1
('qrz.com',) : 1
('ik3qar',) : 1
('hamcall',) : 1
('f6cyv',) : 1
('dxinfo',) : 1
('oz7c',) : 1
('qslinfo',) : 1
('skyrocket',) : 1
('propulsive',) : 1
('unpopulated',) : 1
('doglegs',) : 1
('arrestors',) : 1
('harden',) : 1
('boil-off',) : 1
('unplanned',) : 1
('космодро́м',) : 1
('байкону́р',) : 1
('kosmodrom',) : 1
('baykonur',) : 1
('байқоңыр',) : 1
('ғарыш',) : 1
('айлағы',) : 1
('bayqoñır',) : 1
('ğarış',) : 1
('aylağı',) : 1
('nauchno-issledovatel’skii',) : 1
('ispytatel’nyi',) : 1
('poligon',) : 1
('n.5',) : 1
('vasily',) : 1
('voznyuk',) : 1
('misdirect',) : 1
('jezkazgan',) : 1
('cosmodrome-supporting',) : 1
('afanasiy',) : 1
('ilich',) : 1
('sakha',) : 1
('incinerated',) : 1
('incinerations',) : 1
('eliptyan',) : 1
('nyurbinsky',) : 1
('yakovlev',) : 1
('scientific-production',) : 1
('kazmechanobr',) : 1
('r-16',) : 1
('baikounr',) : 1
('price—which',) : 1
('115,000,000',) : 1
('dnepr',) : 1
('buran-class',) : 1
('intra-site',) : 1
('1,520',) : 1
('schnabel',) : 1
('krayniy',) : 1
('bxy',) : 1
('uaol',) : 1
('yubileyniy',) : 1
('юбилейный',) : 1
('аэропорт',) : 1
('uaon',) : 1
('an-225',) : 1
('mriya',) : 1
('liquid-fueled',) : 1
('gik',) : 1
('ss-19',) : 1
('stiletto',) : 1
('russia–kazakhstan',) : 1
('jv',) : 1
('50-percent',) : 1
('bayterek',) : 1
('oxidiser',) : 1
('45°57′54″n',) : 1
('63°18′18″e\ufeff',) : 1
('\ufeff45.965°n',) : 1
('63.305°e\ufeff',) : 1
('45.965',) : 1
('63.305',) : 1
('гагаринский',) : 1
('старт',) : 1
('gagarinskij',) : 1
('площадка',) : 1
('№1',) : 1
('ploshchadka',) : 1
('gik-5',) : 1
('монтажно-испытательный',) : 1
('корпус',) : 1
("montazhno-ispytatel'nyj",) : 1
('korpus',) : 1
('ready-to-launch',) : 1
('prelaunch',) : 1
('45°55′13″n',) : 1
('63°20′32″e\ufeff',) : 1
('\ufeff45.92028°n',) : 1
('63.34222°e\ufeff',) : 1
('45.92028',) : 1
('63.34222',) : 1
('81.',) : 1
('proton-m/dm-03',) : 1
('81/24',) : 1
('46°04′15″n',) : 1
('62°59′05″e\ufeff',) : 1
('\ufeff46.07083°n',) : 1
('62.98472°e\ufeff',) : 1
('46.07083',) : 1
('62.98472',) : 1
('lc-39c',) : 1
('stacking',) : 1
('3-mile-long',) : 1
('msfc',) : 1
('7,500,000-pound-force',) : 1
('11129',) : 1
('1970–1972',) : 1
('launch-and-landing',) : 1
('2.9-mile',) : 1
('end-of-mission',) : 1
('sts-41-b',) : 1
('return-to-launch-site',) : 1
('rtls',) : 1
('shutdowns',) : 1
('sts-51-f',) : 1
('atlas/centaur',) : 1
('vafb',) : 1
('sspf',) : 1
('multi-element',) : 1
('meit',) : 1
('mila',) : 1
('1981-2011',) : 1
('1969–1972',) : 1
('1981–2011',) : 1
('apollo/saturn',) : 1
('orlando-based',) : 1
('treehouse',) : 1
('lc-39b',) : 1
('39,800',) : 1
('2,408',) : 1
('13,100',) : 1
('77,235',) : 1
('pads—39a',) : 1
('small-class',) : 1
('v-2',) : 1
('a-c',) : 1
('mid-distance',) : 1
('-tall',) : 1
('161-by-135-foot',) : 1
('446-foot',) : 1
('lut',) : 1
('unfueled',) : 1
('12,600,000',) : 1
('5,715',) : 1
('4.8–6.4',) : 1
('pedestals',) : 1
('extensible',) : 1
('410-foot',) : 1
('10,490,000-pound',) : 1
('4,760',) : 1
('umbillical',) : 1
('449',) : 1
('equipment.',) : 1
('closed-circuit',) : 1
('8,730',) : 1
('blast-resistant',) : 1
('cab/slidewire',) : 1
('322-foot',) : 1
('2,503',) : 1
('763',) : 1
('ptcr',) : 1
('all-up',) : 1
('2-month',) : 1
('milk-stool',) : 1
('opf',) : 1
('ssws',) : 1
('290-foot',) : 1
('megalitres',) : 1
('muffled',) : 1
('fueling.',) : 1
('umbilicals',) : 1
('scrubs',) : 1
('slidewire',) : 1
('m113',) : 1
('mishap',) : 1
('carbonation',) : 1
('epoxy',) : 1
('refractory',) : 1
('centaur-g',) : 1
('sts-400',) : 1
('florida—the',) : 1
('agency—as',) : 1
('bezos',) : 1
('non-exclusive',) : 1
('bidders',) : 1
('spacex-leased',) : 1
('gasses',) : 1
('transporter/erector',) : 1
('amos-6',) : 1
('nrol-76',) : 1
('350-foot',) : 1
('takedown',) : 1
('fspacex',) : 1
('crewed-version',) : 1
('gantry',) : 1
('slide-wire',) : 1
('egress',) : 1
('dragon’s',) : 1
('apollo-like',) : 1
('five-phase',) : 1
('89.2',) : 1
('45.2',) : 1
('outyears',) : 1
('catacomb',) : 1
('21,000,000',) : 1
('25,500,000',) : 1
('9,500,000',) : 1
('11,600,000',) : 1
('ribbon-cutting',) : 1
('colloredo',) : 1
('customer-provided',) : 1
('ksc’s',) : 1
('pounds-force',) : 1
('28°36′30″n',) : 1
('80°36′16″w\ufeff',) : 1
('\ufeff28.608397°n',) : 1
('80.604345°w\ufeff',) : 1
('28.608397',) : 1
('-80.604345',) : 1
('f/m',) : 1
('gmamb/r2',) : 1
('6989667000000000000♠6.67×10−11',) : 1
('kg−2',) : 1
('decimeter',) : 1
('re-definition',) : 1
('unproblematic',) : 1
('7000980665000000000♠9.80665',) : 1
('free-falling',) : 1
('centrifuges',) : 1
('–ma',) : 1
('1053',) : 1
('apocryphal',) : 1
('loránd',) : 1
('torsion',) : 1
('pre-newtonian',) : 1
('siliqua',) : 1
('uncia',) : 1
('discoverer',) : 1
('vincenzo',) : 1
('viviani',) : 1
('salviati',) : 1
('cubits',) : 1
('cubit',) : 1
('finger-breadths',) : 1
('sun’s',) : 1
('keplerian',) : 1
('motu',) : 1
('corporum',) : 1
('gyrum',) : 1
('1685–6',) : 1
(':31',) : 1
('millionths',) : 1
(':513',) : 1
(':397',) : 1
(':221',) : 1
('5.448',) : 1
('0.033',) : 1
('reformulated',) : 1
('operationalism',) : 1
('sidestep',) : 1
('f12',) : 1
('f21',) : 1
('deuterium.',) : 1
('over-estimates',) : 1
('/m2',) : 1
('|a2|',) : 1
('insurmountable',) : 1
('environmentally-monitored',) : 1
('energy-momentum',) : 1
('non-matter',) : 1
('mc2',) : 1
('pedagogically',) : 1
('nucleons',) : 1
('melt-water',) : 1
('nanograms',) : 1
('9×1016',) : 1
('pseudo-force',) : 1
('non-inertial',) : 1
('non-linearity',) : 1
('stress–energy',) : 1
('stress–energy–momentum',) : 1
('pseudotensor',) : 1
('euler–lagrange',) : 1
('covariant',) : 1
('relativistically',) : 1
('ψ.',) : 1
('mψ',) : 1
('explanandum',) : 1
('couplings',) : 1
('gψ',) : 1
('superluminal',) : 1
('ferromagnetism',) : 1
('spacelike',) : 1
('anticommute',) : 1
('superluminally',) : 1
('naively',) : 1
('mass-squared',) : 1
('one-particle',) : 1
('eigenvalue',) : 1
('hamiltonian',) : 1
('slower-than-light',) : 1
('bradyons',) : 1
('energy–momentum',) : 1
('numerator',) : 1
('negative-index',) : 1
('metamaterial',) : 1
('ftl',) : 1
('faster-than-light',) : 1
('straight-edged',) : 1
('riemannian',) : 1
('cm3',) : 1
('10-centimetre',) : 1
('millilitres',) : 1
('teaspoon',) : 1
('tablespoon',) : 1
('dram',) : 1
('quart',) : 1
('minim',) : 1
('peck',) : 1
('bushel',) : 1
('hogshead',) : 1
('decimetre',) : 1
('0.1605',) : 1
('2r',) : 1
('between—that',) : 1
('non-vanishing',) : 1
('non-orientable',) : 1
('manifolds',) : 1
('pseudo-riemannian',) : 1
('1-forms',) : 1
('cotangent',) : 1
('n/cm2',) : 1
('kn/m2',) : 1
('65.4',) : 1
('torr',) : 1
('14.696',) : 1
('mslp',) : 1
('29.921',) : 1
('760.00',) : 1
('1013.2',) : 1
('101.32',) : 1
('1000.0',) : 1
('100.00',) : 1
('998.7',) : 1
('32.0',) : 1
('twice-daily',) : 1
('circadian',) : 1
('semi-circadian',) : 1
('1085.7',) : 1
('tosontsengel',) : 1
('evenk',) : 1
('okrug',) : 1
('66°53’n',) : 1
('93°28’e',) : 1
('32.005',) : 1
('1065',) : 1
('0.858',) : 1
('gas-using',) : 1
('maskelyne',) : 1
('conférence',) : 1
('générale',) : 1
('poids',) : 1
('mesures',) : 1
('1,013,250',) : 1
('equivalencies',) : 1
('1.013',) : 1
('kilogram-force',) : 1
('kgf/cm2',) : 1
('7004980665000000000♠98066.5',) : 1
('a.s.l',) : 1
('m.a.s.l',) : 1
('arcdegree',) : 1
('°',) : 1
('radian',) : 1
('chords',) : 1
('sixtieth',) : 1
('timocharis',) : 1
('aristillus',) : 1
('eratosthenes',) : 1
('a072938',) : 1
('oeis',) : 1
('degrees-minutes-seconds',) : 1
('dms',) : 1
('arcminute',) : 1
('arcsecond',) : 1
('11′',) : 1
('15″',) : 1
('arcseconds',) : 1
('fourths',) : 1
('al-kashi',) : 1
('sixtieths',) : 1
('1i',) : 1
('1ii',) : 1
('1iii',) : 1
('1iv',) : 1
('trigonometric',) : 1
('divisibility',) : 1
('360.',) : 1
('π⁄180',) : 1
('grad',) : 1
('10⁄9',) : 1
('decigrades',) : 1
('1⁄4,000',) : 1
('1⁄6,400',) : 1
('milliradian',) : 1
('1⁄6,283',) : 1
('tenths',) : 1
('polynomial',) : 1
('time-interval',) : 1
('way—for',) : 1
("'correcting",) : 1
('date-references',) : 1
('date-reference',) : 1
('precessional',) : 1
('precessions',) : 1
("'equinox",) : 1
('ecliptic/equator',) : 1
('5145',) : 1
('pholus',) : 1
('jdt',) : 1
('2455200.5',) : 1
('72.00071',) : 1
('0.01076162',) : 1
('354.75938',) : 1
('20.3181594',) : 1
('119.42656',) : 1
('0.5715321',) : 1
('incl',) : 1
('24.66109',) : 1
('deg',) : 1
('deg/d',) : 1
('coordinate-dependent',) : 1
('trigonometrical',) : 1
('j1991.25',) : 1
('1.5000',) : 1
('2.5625',) : 1
('1784–1846',) : 1
('.0',) : 1
('1950.0',) : 1
('j1900',) : 1
('epoch-designation',) : 1
('+x',) : 1
('error-prone',) : 1
('currently-used',) : 1
('heliacal',) : 1
('lunisolar',) : 1
('friction-like',) : 1
('explodes',) : 1
('stellar-mass',) : 1
('saps',) : 1
('tres-3b',) : 1
('yarkovsky',) : 1
('terminally',) : 1
('re-emit',) : 1
('poynting-robertson',) : 1
('mascons',) : 1
('exploded-view',) : 1
('sub-assembly',) : 1
('cubist',) : 1
('shadowed',) : 1
('siteplan',) : 1
('notebooks',) : 1
('taccola',) : 1
('1382–1453',) : 1
('perfected',) : 1
('giorgio',) : 1
('1439–1502',) : 1
('1452–1519',) : 1
('subassemblies',) : 1
('disassembling',) : 1
('437.7',) : 1
('valeriy',) : 1
('military-use',) : 1
('chelomey',) : 1
('1971–1986',) : 1
('proof-of-concept',) : 1
('1986–2001',) : 1
('1998–present',) : 1
('russian/soviet',) : 1
("'next",) : 1
("'monolithic",) : 1
('tiangong',) : 1
('tiangong-3',) : 1
('habitants',) : 1
('non-rocket',) : 1
('spacelaunch',) : 1
('10000-person',) : 1
('spacestation',) : 1
('1,374.1',) : 1
('853.8',) : 1
('80–500',) : 1
('7.79',) : 1
('1.3–1.8',) : 1
('28,080',) : 1
('eleo',) : 1
('ico',) : 1
('latency',) : 1
('kessler',) : 1
('light-collecting',) : 1
('acuity',) : 1
('1′',) : 1
('+4m',) : 1
('fainter',) : 1
('pleiades',) : 1
('h/χ',) : 1
('persei',) : 1
('carina',) : 1
('tucanae',) : 1
('scorpius',) : 1
('m13',) : 1
('triangulum',) : 1
('venatici',) : 1
('centaurus',) : 1
('bode',) : 1
('+5.8',) : 1
('moon—the',) : 1
('system—are',) : 1
('canopus',) : 1
('1546–1601',) : 1
('magnification',) : 1
('perseids',) : 1
('geminids',) : 1
('outstretched',) : 1
('thumbnail',) : 1
('protractor',) : 1
('occultations',) : 1
('lumens',) : 1
('600–700',) : 1
('1/60',) : 1
('~0.058-',) : 1
('0.072',) : 1
('~55-75',) : 1
('rooftop-mounted',) : 1
('5-kilowatt',) : 1
('3.29',) : 1
('€1.24',) : 1
('fixed-tilt',) : 1
('u.s.-manufacturers',) : 1
(':17–20',) : 1
('us-manufacturers',) : 1
(':11–12',) : 1
('cost-effectiveness',) : 1
(':5–',) : 1
(':30–33',) : 1
('2–10',) : 1
('synchronising',) : 1
('grid-tie',) : 1
('kilowatt-sized',) : 1
('1000v',) : 1
('ohmic',) : 1
('ground-mount',) : 1
('megawatt-scale',) : 1
('low-slope',) : 1
('panel-level',) : 1
('phone/email/text',) : 1
('installer',) : 1
('at-a-glance',) : 1
('q.v',) : 1
('//en.wikipedia.org/wiki/balance_of_plant',) : 1
('power-conditioning',) : 1
('racking',) : 1
('revenue-grade',) : 1
('charger',) : 1
('task-specific',) : 1
('c-si',) : 1
('encapsulant',) : 1
('backsheet',) : 1
('stc',) : 1
('ptc',) : 1
('pvusa',) : 1
('hours/day',) : 1
('wafer-based',) : 1
('cdte',) : 1
('0.5v',) : 1
('weatherproof',) : 1
("'short-circuiting",) : 1
('p-n',) : 1
('sketchup',) : 1
('deﬁned',) : 1
('kw/m²',) : 1
('optimization',) : 1
('3.5–5',) : 1
('90,600',) : 1
('bins',) : 1
('side-of-pole',) : 1
('inaccessibility',) : 1
('60364',) : 1
('7671',) : 1
('ul4703',) : 1
('4703',) : 1
('tilts',) : 1
('anti-reflective',) : 1
('optimise',) : 1
('5.61',) : 1
('low-concentration',) : 1
('high-concentration',) : 1
('waveshape',) : 1
('synchronisation',) : 1
('micro-inverter',) : 1
('kwdc',) : 1
('10-kilowatt',) : 1
('kwac',) : 1
('micro-inverters',) : 1
('anti-islanding',) : 1
('re-connection',) : 1
('grid-storage',) : 1
('battery–',) : 1
('lead–acid',) : 1
('nickel–cadmium',) : 1
(':4,9',) : 1
('sodium–sulfur',) : 1
('redox',) : 1
('revolutionize',) : 1
('overcharging',) : 1
('bidirectionally',) : 1
('detent',) : 1
('hydro-storage',) : 1
('30kwp',) : 1
('three-phase',) : 1
('pyranometer',) : 1
('osotf',) : 1
('csp',) : 1
('pellworm',) : 1
('case-study',) : 1
('hybridising',) : 1
('mini-grids',) : 1
('hybridizing',) : 1
('runtime',) : 1
('tailing',) : 1
('floatovoltaics',) : 1
('aquavoltaics',) : 1
('synergistically',) : 1
('unobtrusive',) : 1
('pontoons',) : 1
('kyocera',) : 1
('yamakura',) : 1
('chiba',) : 1
('trolleybuses',) : 1
('leinhausen',) : 1
('bachet',) : 1
('pesay',) : 1
('600v',) : 1
('tram/trolleybus',) : 1
('wristwatches',) : 1
('non-portable',) : 1
('discharging',) : 1
('near-maximum',) : 1
('photovotaic',) : 1
('multicrystalline',) : 1
('siwafers',) : 1
('1389/kwp',) : 1
('outlay',) : 1
('warranty',) : 1
('roadmap',) : 1
('city/county',) : 1
('nrtl',) : 1
('broads',) : 1
('grid-tied',) : 1
('huelva',) : 1
('протон',) : 1
('d-1/d-1e',) : 1
('sl-12/sl-13',) : 1
('voronezh',) : 1
('100-megaton',) : 1
('foil',) : 1
('1f',) : 1
('unsymmetrical',) : 1
('soviet/ukrainian',) : 1
('kosmos-3',) : 1
('kosmos-3m',) : 1
('dm2',) : 1
('dm-2m',) : 1
('d/dm',) : 1
('toroidal',) : 1
('non-manned',) : 1
('lks',) : 1
('3–3.2',) : 1
('6,600–7,100',) : 1
('51.6-degree',) : 1
('бриз',) : 1
('storable',) : 1
('top-off',) : 1
('blok-dm',) : 1
('khrunichev’s',) : 1
('am-44',) : 1
('md-1',) : 1
('6150',) : 1
('turbopump',) : 1
('briz',) : 1
('mexsat',) : 1
('6320',) : 1
('gso',) : 1
('reevaluated',) : 1
('cryogens',) : 1
('kvtk',) : 1
('11a511',) : 1
('samara',) : 1
('soyuz-u2',) : 1
('syntin',) : 1
('a-2',) : 1
('rus',) : 1
('russification',) : 1
('u/fregat',) : 1
('globalstar',) : 1
('changeovers',) : 1
('photon-m',) : 1
('molniya-m.',) : 1
('molniya-3k',) : 1
('uvatski',) : 1
('tyumen',) : 1
('meridian-5',) : 1
('venerable',) : 1
('soyuz-2-1a',) : 1
('third-stage',) : 1
('molniya-m',) : 1
('1964-2010',) : 1
('windproof',) : 1
('load-bearing',) : 1
('suspending',) : 1
('novelties',) : 1
('r-7/soyuz',) : 1
('strapons',) : 1
('swiveling',) : 1
('strapon',) : 1
('nonimpact',) : 1
('a-type',) : 1
('giove',) : 1
('amos-2',) : 1
('st-type',) : 1
('carbon-plastic',) : 1
('arianespace’s',) : 1
('tsskb-progress',) : 1
('starsem/arianespace',) : 1
('tapers',) : 1
('block-i',) : 1
('1g',) : 1
('dripped',) : 1
('sieve',) : 1
('roundness',) : 1
('shotgun',) : 1
('defect-free',) : 1
('microelectronic',) : 1
('solar-terrestrial',) : 1
('radiation-induced',) : 1
('single-event',) : 1
('ldef',) : 1
('kilo-electron',) : 1
('kilovolts',) : 1
('spacecraft-plasma',) : 1
('reentery',) : 1
('ionospheric',) : 1
('building-block',) : 1
('βίος',) : 1
('bios',) : 1
('latin-language',) : 1
('linné',) : 1
('biologi',) : 1
('botanica',) : 1
('philosophiae',) : 1
('sive',) : 1
('physicae',) : 1
('tomus',) : 1
('continens',) : 1
('geologian',) : 1
('biologian',) : 1
('phytologian',) : 1
('generalis',) : 1
('hanov',) : 1
('disciple',) : 1
('theodor',) : 1
('roose',) : 1
('preface',) : 1
('grundzüge',) : 1
('lehre',) : 1
('lebenskraft',) : 1
('burdach',) : 1
('propädeutik',) : 1
('zum',) : 1
('studien',) : 1
('gesammten',) : 1
('heilkunst',) : 1
('six-volume',) : 1
('philosophie',) : 1
('lebenden',) : 1
('natur',) : 1
('1802–22',) : 1
('gottfried',) : 1
('treviranus',) : 1
('hippocrates',) : 1
('al-jahiz',) : 1
('781–869',) : 1
('al-dīnawarī',) : 1
('828–896',) : 1
('rhazes',) : 1
('865–925',) : 1
('leeuwenhoek',) : 1
('spermatozoa',) : 1
('infusoria',) : 1
('swammerdam',) : 1
('dissection',) : 1
('staining',) : 1
('microscopy',) : 1
('schleiden',) : 1
('schwann',) : 1
('remak',) : 1
('virchow',) : 1
('tenets',) : 1
('1750s',) : 1
('georges-louis',) : 1
('malleable—even',) : 1
('biogeographical',) : 1
('uniformitarian',) : 1
('lyell',) : 1
('malthus',) : 1
('trait-carrying',) : 1
('cracked',) : 1
('har',) : 1
('gobind',) : 1
('khorana',) : 1
('holley',) : 1
('nirenberg',) : 1
('codons',) : 1
('pathological',) : 1
('abiogenesis',) : 1
('species—which',) : 1
('descended—together',) : 1
('phenetics',) : 1
('ribosome',) : 1
('codon',) : 1
('chromosome',) : 1
('histones',) : 1
('genomic',) : 1
('cytoplasm',) : 1
('nucleoid',) : 1
('glucagon',) : 1
('autotrophs',) : 1
('phototrophs',) : 1
('chemotrophs',) : 1
('non-luminal',) : 1
('phenotype',) : 1
('embryology',) : 1
('morphogenesis',) : 1
('drosophila',) : 1
('melanogaster',) : 1
('zebrafish',) : 1
('danio',) : 1
('rerio',) : 1
('musculus',) : 1
('arabidopsis',) : 1
('thaliana',) : 1
('neurology',) : 1
('taxonomically',) : 1
('ornithology',) : 1
('herpetology',) : 1
('monera',) : 1
('five-kingdom',) : 1
('three-domain',) : 1
('archaebacteria',) : 1
('eubacteria',) : 1
('eukaryota',) : 1
('ribosomes',) : 1
('recursively',) : 1
('obligate',) : 1
('linnaean',) : 1
('icn',) : 1
('iczn',) : 1
('icnb',) : 1
('sub-viral',) : 1
('ictv',) : 1
('non-living',) : 1
('parasitic',) : 1
('subdisciplines',) : 1
('ethology',) : 1
('canids',) : 1
('ethologist',) : 1
('meiosis',) : 1
('homologous',) : 1
('recombination',) : 1
('germ-line',) : 1
('biologic',) : 1
('φυσική',) : 1
('ἐπιστήμη',) : 1
('phusikḗ',) : 1
('epistḗmē',) : 1
('phúsis',) : 1
('biophysics',) : 1
('sumerians',) : 1
('asger',) : 1
('aaboe',) : 1
('non-naturalistic',) : 1
('leucippus',) : 1
('sahl',) : 1
('al-kindi',) : 1
('al-farisi',) : 1
('avicenna',) : 1
('al-manāẓir',) : 1
('al-haitham',) : 1
('thousand-year-old',) : 1
('dissections',) : 1
('til',) : 1
('seven-volume',) : 1
('al-manathir',) : 1
('polymaths',) : 1
('eyeglasses',) : 1
('non-relativistic',) : 1
('oscillators',) : 1
('orbitals',) : 1
('firmament',) : 1
('posteriori',) : 1
('empiricism',) : 1
('naturalism',) : 1
('platonist',) : 1
('unashamed',) : 1
('1642–1727',) : 1
('century—classical',) : 1
('ultrasonics',) : 1
('bioacoustics',) : 1
('electroacoustics',) : 1
('magnetostatics',) : 1
('commonsense',) : 1
('well-described',) : 1
('ontology',) : 1
('hard-to-find',) : 1
('easier-to-find',) : 1
('interdisciplinarity',) : 1
('econophysics',) : 1
('sociophysics',) : 1
('repeatable',) : 1
('invalidity',) : 1
('phenomenologists',) : 1
('universes',) : 1
('multiverse',) : 1
('feynman',) : 1
('well-explored',) : 1
('force—electromagnetism',) : 1
('electroweak',) : 1
('1879–1955',) : 1
('lev',) : 1
('landau',) : 1
('1908–1968',) : 1
('leptons',) : 1
('gluons',) : 1
('matter–matter',) : 1
('light–matter',) : 1
('commonality',) : 1
('semi-classical',) : 1
('intra-nuclear',) : 1
('multi-atomic',) : 1
('superfluid',) : 1
('ferromagnetic',) : 1
('antiferromagnetic',) : 1
('group—previously',) : 1
('theory—in',) : 1
('astrophysicists',) : 1
('λcdm',) : 1
('ibex',) : 1
('ena',) : 1
('heliosphere—in',) : 1
('enveloping',) : 1
('onrushing',) : 1
("'galactic",) : 1
('comet—is',) : 1
('high-temperature',) : 1
('fabricate',) : 1
('m-theory',) : 1
('superstring',) : 1
('sandpiles',) : 1
('trickling',) : 1
('self-sorting',) : 1
('iranians',) : 1
('astron',) : 1
('-νομία',) : 1
('-nomia',) : 1
('νόμος',) : 1
('nomos',) : 1
('shu',) : 1
('physics-oriented',) : 1
('saros',) : 1
('rational',) : 1
('antikythera',) : 1
('150–80',) : 1
('1006',) : 1
('ridwan',) : 1
('1006.',) : 1
('al-battani',) : 1
('thebit',) : 1
('albumasar',) : 1
('biruni',) : 1
('arzachel',) : 1
('al-birjandi',) : 1
('maragheh',) : 1
('motives',) : 1
('flamsteed',) : 1
('lacaille',) : 1
('nebulosity',) : 1
('cygni',) : 1
('18–19th',) : 1
('clairaut',) : 1
("d'alembert",) : 1
('spectroscope',) : 1
('1814–15',) : 1
('speculations',) : 1
('abundances',) : 1
('wide-field',) : 1
('unveiling',) : 1
('ccds',) : 1
('near-ultraviolet',) : 1
('non-transient',) : 1
('gallex',) : 1
('kamioka',) : 1
('ii/iii',) : 1
('1987a',) : 1
('multi-messenger',) : 1
('astrometric',) : 1
('astroparticle',) : 1
('lambda-cdm',) : 1
('light-minutes',) : 1
('g2',) : 1
('gyr',) : 1
('lower-than-',) : 1
('maunder',) : 1
('super-heated',) : 1
('envelop',) : 1
('kuiper',) : 1
('oort',) : 1
('light-year',) : 1
('protoplanetary',) : 1
('clumps',) : 1
('unaccreted',) : 1
('thorium',) : 1
('cratering',) : 1
('protostar',) : 1
('bar-shaped',) : 1
('supermassive',) : 1
('pre-stellar',) : 1
('kinematic',) : 1
('super-massive',) : 1
('in-falling',) : 1
('seyfert',) : 1
('λόγος',) : 1
('well-accepted',) : 1
('nucleocosmochronology',) : 1
('reionization',) : 1
('archaeoastronomy',) : 1
('astronomies',) : 1
('astrostatistics',) : 1
('astrochemistry',) : 1
('cosmochemistry',) : 1
('deep-sky',) : 1
('homemade',) : 1
('unanswered',) : 1
('sub-rack',) : 1
('neurological',) : 1
('vestibular',) : 1
('crystalization',) : 1
('picosatellites',) : 1
('crew-initiated',) : 1
('non-keplerian',) : 1
('oblateness',) : 1
('position/velocity',) : 1
('re-boosted',) : 1
('mn',) : 1
('mm/s',) : 1
('delta-v.',) : 1
('out-of-plane',) : 1
('lunar/solar',) : 1
('perturbs',) : 1
('ellipticity',) : 1
('discontinues',) : 1
('steerable',) : 1
('points—also',) : 1
('points—gravity',) : 1
